Manual_guild_change,Kingdom,Phylum,Class,Order,Family,Genus,Guild
NA,Fungi,Ascomycota,Sordariomycetes,Pseudodactylariales,Pseudodactylariaceae,Pseudodactylaria,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Pleurotheciales,Pleurotheciaceae,Pleurotheciella,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Grammothele,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Efibula,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Xylodon,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Resinomycena,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Daedaleopsis,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Zopfiella,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Antrodia,Unassigned
NA,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Chrysozymaceae,Slooffia,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Phacidiales,Phacidiaceae,Phacidium,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Phacidiales,Phacidiaceae,Allantophomopsiella,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Pusillomyces,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Radulomycetaceae,Radulomyces,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,Plicaturopsis,Unassigned
NA,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Schizoparmaceae,Coniella,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Climacodon,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Helicoma,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Hirsutella,Unassigned
NA,Fungi,Basidiomycota,Tritirachiomycetes,Tritirachiales,Tritirachiaceae,Tritirachium,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Virgaria,Unassigned
NA,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Megasporaceae,Aspicilia,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Parafenestella,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Alfaria,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Martininia,Unassigned
NA,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Chrysozymaceae,Oberwinklerozyma,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Acrodontium,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Cerrenaceae,Cerrena,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Macrolepiota,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,Unassigned
NA,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Rhinocladiella,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pseudorobillarda,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hamatocanthoscypha,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Russulales,Wrightoporiaceae,Wrightoporia,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Oxyporus,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Omphalotus,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Tyromyces,Unassigned
NA,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Metulocladosporiella,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Calycina,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Humidicutis,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Typhulaceae,Typhula,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Pseudocyclothyriella,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Dichostereum,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entocybe,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Athelia,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Campanella,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Bolbitius,Unassigned
NA,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Retiarius,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Reticulascaceae,Reticulascus,Unassigned
NA,Fungi,Basidiomycota,Microbotryomycetes,Heitmaniales,Heitmaniaceae,Heitmania,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiales_fam_Incertae_sedis,Atractospora,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Muriphaeosphaeria,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Blackwellomyces,Unassigned
NA,Fungi,Basidiomycota,Exobasidiomycetes,Georgefischeriales,Tilletiariaceae,Phragmotaenium,Unassigned
