"","ID","target","site","sample_type","sampling","plant","site2","x","y","y_m","x_m"
"NF20_096","NF20_096","fungi","84","root","root","Populus","p084",36.52205,138.35131,-132729.528,58944.622
"NF21_001","NF21_001","fungi","85","root","root","Pinus","p085",36.52205,138.35144,-132717.884,58944.443
"NF21_003","NF21_003","fungi","85","root","root","Pinus","p085",36.52205,138.35144,-132717.884,58944.443
"NF21_007","NF21_007","fungi","85","root","root","Pinus","p085",36.52205,138.35144,-132717.884,58944.443
"NF21_008","NF21_008","fungi","85","root","root","Pinus","p085",36.52205,138.35144,-132717.884,58944.443
"NF21_010","NF21_010","fungi","86","root","root","Betula","p086",36.5221,138.3516,-132703.468,58949.771
"NF21_013","NF21_013","fungi","86","root","root","Vitis","p086",36.5221,138.3516,-132703.468,58949.771
"NF21_014","NF21_014","fungi","86","root","root","Pinus","p086",36.5221,138.3516,-132703.468,58949.771
"NF21_015","NF21_015","fungi","86","root","root","Pinus","p086",36.5221,138.3516,-132703.468,58949.771
"NF21_016","NF21_016","fungi","86","root","root","Vitis","p086",36.5221,138.3516,-132703.468,58949.771
"NF21_017","NF21_017","fungi","86","root","root","Acer","p086",36.5221,138.3516,-132703.468,58949.771
"NF21_018","NF21_018","fungi","86","root","root","Pinus","p086",36.5221,138.3516,-132703.468,58949.771
"NF21_019","NF21_019","fungi","86","root","root","Pinus","p086",36.5221,138.3516,-132703.468,58949.771
"NF21_020","NF21_020","fungi","86","root","root","Toxicodendron","p086",36.5221,138.3516,-132703.468,58949.771
"NF21_022","NF21_022","fungi","86","root","root","Pinus","p086",36.5221,138.3516,-132703.468,58949.771
"NF21_023","NF21_023","fungi","86","root","root","Toxicodendron","p086",36.5221,138.3516,-132703.468,58949.771
"NF21_026","NF21_026","fungi","87","root","root","Pinus","p087",36.52217,138.3507,-132783.958,58958.78
"NF21_027","NF21_027","fungi","87","root","root","Pinus","p087",36.52217,138.3507,-132783.958,58958.78
"NF21_028","NF21_028","fungi","87","root","root","Toxicodendron","p087",36.52217,138.3507,-132783.958,58958.78
"NF21_029","NF21_029","fungi","87","root","root","Pinus","p087",36.52217,138.3507,-132783.958,58958.78
"NF21_031","NF21_031","fungi","87","root","root","Pinus","p087",36.52217,138.3507,-132783.958,58958.78
"NF21_034","NF21_034","fungi","88","root","root","Quercus","p088",36.52222,138.35055,-132797.307,58964.535
"NF21_035","NF21_035","fungi","88","root","root","Quercus","p088",36.52222,138.35055,-132797.307,58964.535
"NF21_036","NF21_036","fungi","88","root","root","Quercus","p088",36.52222,138.35055,-132797.307,58964.535
"NF21_037","NF21_037","fungi","88","root","root","Quercus","p088",36.52222,138.35055,-132797.307,58964.535
"NF21_038","NF21_038","fungi","88","root","root","Unidentified","p088",36.52222,138.35055,-132797.307,58964.535
"NF21_044","NF21_044","fungi","88","root","root","Pinus","p088",36.52222,138.35055,-132797.307,58964.535
"NF21_045","NF21_045","fungi","88","root","root","Acer","p088",36.52222,138.35055,-132797.307,58964.535
"NF21_046","NF21_046","fungi","88","root","root","Acer","p088",36.52222,138.35055,-132797.307,58964.535
"NF21_047","NF21_047","fungi","88","root","root","Pinus","p088",36.52222,138.35055,-132797.307,58964.535
"NF21_048","NF21_048","fungi","88","root","root","Unidentified","p088",36.52222,138.35055,-132797.307,58964.535
"NF21_050","NF21_050","fungi","89","root","root","Pinus","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_051","NF21_051","fungi","89","root","root","Pinus","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_053","NF21_053","fungi","89","root","root","Pinus","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_054","NF21_054","fungi","89","root","root","Pinus","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_055","NF21_055","fungi","89","root","root","Pinus","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_056","NF21_056","fungi","89","root","root","Pinus","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_057","NF21_057","fungi","89","root","root","Betula","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_058","NF21_058","fungi","89","root","root","Betula","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_059","NF21_059","fungi","89","root","root","Betula","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_060","NF21_060","fungi","89","root","root","Betula","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_061","NF21_061","fungi","89","root","root","Betula","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_063","NF21_063","fungi","89","root","root","Betula","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_064","NF21_064","fungi","89","root","root","Betula","p089",36.52208,138.35028,-132821.729,58949.372
"NF21_065","NF21_065","fungi","90","root","root","Pinus","p090",36.52204,138.35028,-132821.798,58944.933
"NF21_068","NF21_068","fungi","90","root","root","Pinus","p090",36.52204,138.35028,-132821.798,58944.933
"NF21_069","NF21_069","fungi","90","root","root","Pinus","p090",36.52204,138.35028,-132821.798,58944.933
"NF21_070","NF21_070","fungi","90","root","root","Pinus","p090",36.52204,138.35028,-132821.798,58944.933
"NF21_071","NF21_071","fungi","90","root","root","Pinus","p090",36.52204,138.35028,-132821.798,58944.933
"NF21_072","NF21_072","fungi","90","root","root","Pinus","p090",36.52204,138.35028,-132821.798,58944.933
"NF21_073","NF21_073","fungi","91","root","root","Unidentified","p091",36.52167,138.35031,-132819.743,58903.833
"NF21_074","NF21_074","fungi","91","root","root","Betula","p091",36.52167,138.35031,-132819.743,58903.833
"NF21_075","NF21_075","fungi","91","root","root","Unidentified","p091",36.52167,138.35031,-132819.743,58903.833
"NF21_077","NF21_077","fungi","91","root","root","Betula","p091",36.52167,138.35031,-132819.743,58903.833
"NF21_078","NF21_078","fungi","91","root","root","Unidentified","p091",36.52167,138.35031,-132819.743,58903.833
"NF21_079","NF21_079","fungi","91","root","root","Betula","p091",36.52167,138.35031,-132819.743,58903.833
"NF21_080","NF21_080","fungi","91","root","root","Betula","p091",36.52167,138.35031,-132819.743,58903.833
"NF21_081","NF21_081","fungi","92","root","root","Unidentified","p092",36.52143,138.35038,-132813.884,58877.104
"NF21_083","NF21_083","fungi","92","root","root","Pinus","p092",36.52143,138.35038,-132813.884,58877.104
"NF21_085","NF21_085","fungi","92","root","root","Actinidia","p092",36.52143,138.35038,-132813.884,58877.104
"NF21_087","NF21_087","fungi","92","root","root","Pinus","p092",36.52143,138.35038,-132813.884,58877.104
"NF21_088","NF21_088","fungi","92","root","root","Pinus","p092",36.52143,138.35038,-132813.884,58877.104
"NF22_001","NF22_001","fungi","93","root","root","Pinus","p093",36.52141,138.35021,-132829.144,58875.12
"NF22_002","NF22_002","fungi","93","root","root","Pinus","p093",36.52141,138.35021,-132829.144,58875.12
"NF22_004","NF22_004","fungi","93","root","root","Unidentified","p093",36.52141,138.35021,-132829.144,58875.12
"NF22_006","NF22_006","fungi","93","root","root","Pinus","p093",36.52141,138.35021,-132829.144,58875.12
"NF22_007","NF22_007","fungi","93","root","root","Pinus","p093",36.52141,138.35021,-132829.144,58875.12
"NF22_009","NF22_009","fungi","94","root","root","Pinus","p094",36.52125,138.35,-132848.227,58857.655
"NF22_017","NF22_017","fungi","95","root","root","Betula","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_018","NF22_018","fungi","95","root","root","Betula","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_019","NF22_019","fungi","95","root","root","Betula","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_020","NF22_020","fungi","95","root","root","Betula","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_021","NF22_021","fungi","95","root","root","Betula","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_022","NF22_022","fungi","95","root","root","Betula","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_023","NF22_023","fungi","95","root","root","Betula","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_024","NF22_024","fungi","95","root","root","Betula","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_025","NF22_025","fungi","95","root","root","Quercus","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_026","NF22_026","fungi","95","root","root","Quercus","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_028","NF22_028","fungi","95","root","root","Quercus","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_029","NF22_029","fungi","95","root","root","Quercus","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_030","NF22_030","fungi","95","root","root","Quercus","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_031","NF22_031","fungi","95","root","root","Quercus","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_032","NF22_032","fungi","95","root","root","Quercus","p095",36.52112,138.35002,-132846.658,58843.201
"NF22_033","NF22_033","fungi","96","root","root","Betula","p096",36.52096,138.34919,-132921.272,58826.592
"NF22_034","NF22_034","fungi","96","root","root","Betula","p096",36.52096,138.34919,-132921.272,58826.592
"NF22_035","NF22_035","fungi","96","root","root","Betula","p096",36.52096,138.34919,-132921.272,58826.592
"NF22_036","NF22_036","fungi","96","root","root","Betula","p096",36.52096,138.34919,-132921.272,58826.592
"NF22_038","NF22_038","fungi","96","root","root","Betula","p096",36.52096,138.34919,-132921.272,58826.592
"NF22_039","NF22_039","fungi","96","root","root","Betula","p096",36.52096,138.34919,-132921.272,58826.592
"NF22_041","NF22_041","fungi","97","root","root","Juglans","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_043","NF22_043","fungi","97","root","root","Juglans","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_044","NF22_044","fungi","97","root","root","Juglans","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_045","NF22_045","fungi","97","root","root","Juglans","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_046","NF22_046","fungi","97","root","root","Juglans","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_047","NF22_047","fungi","97","root","root","Juglans","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_048","NF22_048","fungi","97","root","root","Juglans","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_049","NF22_049","fungi","97","root","root","Corylus","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_050","NF22_050","fungi","97","root","root","Corylus","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_051","NF22_051","fungi","97","root","root","Corylus","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_053","NF22_053","fungi","97","root","root","Corylus","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_054","NF22_054","fungi","97","root","root","Corylus","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_055","NF22_055","fungi","97","root","root","Corylus","p097",36.52103,138.34912,-132927.422,58834.456
"NF22_057","NF22_057","fungi","98","root","root","Corylus","p098",36.52111,138.34903,-132935.346,58843.458
"NF22_059","NF22_059","fungi","98","root","root","Corylus","p098",36.52111,138.34903,-132935.346,58843.458
"NF22_062","NF22_062","fungi","98","root","root","Corylus","p098",36.52111,138.34903,-132935.346,58843.458
"NF22_065","NF22_065","fungi","99","root","root","Betula","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_066","NF22_066","fungi","99","root","root","Larix","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_067","NF22_067","fungi","99","root","root","Unidentified","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_068","NF22_068","fungi","99","root","root","Betula","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_069","NF22_069","fungi","99","root","root","Betula","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_070","NF22_070","fungi","99","root","root","Unidentified","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_071","NF22_071","fungi","99","root","root","Betula","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_072","NF22_072","fungi","99","root","root","Unidentified","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_073","NF22_073","fungi","99","root","root","Prunus","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_076","NF22_076","fungi","99","root","root","Prunus","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_077","NF22_077","fungi","99","root","root","Unidentified","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_078","NF22_078","fungi","99","root","root","Betula","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_079","NF22_079","fungi","99","root","root","Prunus","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_080","NF22_080","fungi","99","root","root","Prunus","p099",36.52114,138.34906,-132932.608,58846.746
"NF22_082","NF22_082","fungi","100","root","root","Pinus","p100",36.52122,138.34904,-132934.262,58855.651
"NF22_084","NF22_084","fungi","100","root","root","Pinus","p100",36.52122,138.34904,-132934.262,58855.651
"NF22_086","NF22_086","fungi","100","root","root","Pinus","p100",36.52122,138.34904,-132934.262,58855.651
"NF22_087","NF22_087","fungi","100","root","root","Pinus","p100",36.52122,138.34904,-132934.262,58855.651
"NF22_091","NF22_091","fungi","101","root","root","Pinus","p101",36.52128,138.34901,-132936.846,58862.351
"NF22_092","NF22_092","fungi","101","root","root","Pinus","p101",36.52128,138.34901,-132936.846,58862.351
"NF22_093","NF22_093","fungi","101","root","root","Pinus","p101",36.52128,138.34901,-132936.846,58862.351
"NF23_001","NF23_001","fungi","102","root","root","Acer","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_002","NF23_002","fungi","102","root","root","Pinus","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_004","NF23_004","fungi","102","root","root","Betula","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_005","NF23_005","fungi","102","root","root","Unidentified","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_008","NF23_008","fungi","102","root","root","Prunus","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_009","NF23_009","fungi","102","root","root","Unidentified","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_011","NF23_011","fungi","102","root","root","Betula","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_012","NF23_012","fungi","102","root","root","Betula","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_013","NF23_013","fungi","102","root","root","Betula","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_014","NF23_014","fungi","102","root","root","Betula","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_015","NF23_015","fungi","102","root","root","Betula","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_016","NF23_016","fungi","102","root","root","Betula","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_018","NF23_018","fungi","102","root","root","Pinus","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_019","NF23_019","fungi","102","root","root","Pinus","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_023","NF23_023","fungi","102","root","root","Pinus","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_024","NF23_024","fungi","102","root","root","Pinus","p102",36.5213,138.34888,-132948.456,58864.749
"NF23_026","NF23_026","fungi","103","root","root","Pinus","p103",36.52146,138.34905,-132932.956,58882.27
"NF23_028","NF23_028","fungi","103","root","root","Pinus","p103",36.52146,138.34905,-132932.956,58882.27
"NF23_032","NF23_032","fungi","103","root","root","Pinus","p103",36.52146,138.34905,-132932.956,58882.27
"NF23_033","NF23_033","fungi","103","root","root","Unidentified","p103",36.52146,138.34905,-132932.956,58882.27
"NF23_034","NF23_034","fungi","103","root","root","Pinus","p103",36.52146,138.34905,-132932.956,58882.27
"NF23_035","NF23_035","fungi","103","root","root","Pinus","p103",36.52146,138.34905,-132932.956,58882.27
"NF23_041","NF23_041","fungi","104","root","root","Betula","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_042","NF23_042","fungi","104","root","root","Betula","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_043","NF23_043","fungi","104","root","root","Betula","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_045","NF23_045","fungi","104","root","root","Betula","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_046","NF23_046","fungi","104","root","root","Betula","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_048","NF23_048","fungi","104","root","root","Betula","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_049","NF23_049","fungi","104","root","root","Betula","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_050","NF23_050","fungi","104","root","root","Betula","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_051","NF23_051","fungi","104","root","root","Betula","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_054","NF23_054","fungi","104","root","root","Betula","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_056","NF23_056","fungi","104","root","root","Betula","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_057","NF23_057","fungi","104","root","root","Pinus","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_058","NF23_058","fungi","104","root","root","Pinus","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_059","NF23_059","fungi","104","root","root","Pinus","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_060","NF23_060","fungi","104","root","root","Unidentified","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_061","NF23_061","fungi","104","root","root","Pinus","p104",36.52152,138.34908,-132930.166,58888.886
"NF23_068","NF23_068","fungi","105","root","root","Betula","p105",36.52162,138.34895,-132941.638,58900.163
"NF23_069","NF23_069","fungi","105","root","root","Betula","p105",36.52162,138.34895,-132941.638,58900.163
"NF23_070","NF23_070","fungi","105","root","root","Betula","p105",36.52162,138.34895,-132941.638,58900.163
"NF23_071","NF23_071","fungi","105","root","root","Betula","p105",36.52162,138.34895,-132941.638,58900.163
"NF23_072","NF23_072","fungi","105","root","root","Betula","p105",36.52162,138.34895,-132941.638,58900.163
"NF23_073","NF23_073","fungi","106","root","root","Betula","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_074","NF23_074","fungi","106","root","root","Quercus","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_075","NF23_075","fungi","106","root","root","Quercus","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_076","NF23_076","fungi","106","root","root","Quercus","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_077","NF23_077","fungi","106","root","root","Quercus","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_078","NF23_078","fungi","106","root","root","Quercus","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_079","NF23_079","fungi","106","root","root","Quercus","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_080","NF23_080","fungi","106","root","root","Quercus","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_083","NF23_083","fungi","106","root","root","Tilia","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_084","NF23_084","fungi","106","root","root","Tilia","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_086","NF23_086","fungi","106","root","root","Tilia","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_090","NF23_090","fungi","106","root","root","Unidentified","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_091","NF23_091","fungi","106","root","root","Unidentified","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_092","NF23_092","fungi","106","root","root","Unidentified","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_093","NF23_093","fungi","106","root","root","Alnus","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_094","NF23_094","fungi","106","root","root","Juglans","p106",36.52143,138.34888,-132948.233,58879.175
"NF23_095","NF23_095","fungi","106","root","root","Betula","p106",36.52143,138.34888,-132948.233,58879.175
"NF24_001","NF24_001","fungi","107","root","root","Betula","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_002","NF24_002","fungi","107","root","root","Betula","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_003","NF24_003","fungi","107","root","root","Unidentified","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_004","NF24_004","fungi","107","root","root","Pinus","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_005","NF24_005","fungi","107","root","root","Unidentified","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_006","NF24_006","fungi","107","root","root","Pinus","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_007","NF24_007","fungi","107","root","root","Vitis","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_008","NF24_008","fungi","107","root","root","Unidentified","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_010","NF24_010","fungi","107","root","root","Unidentified","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_011","NF24_011","fungi","107","root","root","Acer","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_012","NF24_012","fungi","107","root","root","Quercus","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_013","NF24_013","fungi","107","root","root","Unidentified","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_014","NF24_014","fungi","107","root","root","Toxicodendron","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_015","NF24_015","fungi","107","root","root","Unidentified","p107",36.52185,138.34958,-132884.818,58924.815
"NF24_017","NF24_017","fungi","108","root","root","Toxicodendron","p108",36.52193,138.34974,-132870.351,58933.472
"NF24_020","NF24_020","fungi","108","root","root","Toxicodendron","p108",36.52193,138.34974,-132870.351,58933.472
"NF24_021","NF24_021","fungi","108","root","root","Toxicodendron","p108",36.52193,138.34974,-132870.351,58933.472
"NF24_022","NF24_022","fungi","108","root","root","Toxicodendron","p108",36.52193,138.34974,-132870.351,58933.472
"NF24_023","NF24_023","fungi","108","root","root","Toxicodendron","p108",36.52193,138.34974,-132870.351,58933.472
"NF24_025","NF24_025","fungi","108","root","root","Pinus","p108",36.52193,138.34974,-132870.351,58933.472
"NF24_026","NF24_026","fungi","108","root","root","Unidentified","p108",36.52193,138.34974,-132870.351,58933.472
"NF24_029","NF24_029","fungi","108","root","root","Pinus","p108",36.52193,138.34974,-132870.351,58933.472
"NF24_030","NF24_030","fungi","108","root","root","Pinus","p108",36.52193,138.34974,-132870.351,58933.472
"NF24_031","NF24_031","fungi","108","root","root","Toxicodendron","p108",36.52193,138.34974,-132870.351,58933.472
"NF24_032","NF24_032","fungi","108","root","root","Toxicodendron","p108",36.52193,138.34974,-132870.351,58933.472
"NF24_033","NF24_033","fungi","109","root","root","Unidentified","p109",36.52198,138.34985,-132860.413,58938.869
"NF24_034","NF24_034","fungi","109","root","root","Toxicodendron","p109",36.52198,138.34985,-132860.413,58938.869
"NF24_035","NF24_035","fungi","109","root","root","Toxicodendron","p109",36.52198,138.34985,-132860.413,58938.869
"NF24_036","NF24_036","fungi","109","root","root","Alnus","p109",36.52198,138.34985,-132860.413,58938.869
"NF24_037","NF24_037","fungi","109","root","root","Toxicodendron","p109",36.52198,138.34985,-132860.413,58938.869
"NF24_039","NF24_039","fungi","109","root","root","Unidentified","p109",36.52198,138.34985,-132860.413,58938.869
"NF24_040","NF24_040","fungi","109","root","root","Toxicodendron","p109",36.52198,138.34985,-132860.413,58938.869
"NF24_044","NF24_044","fungi","109","root","root","Vitis","p109",36.52198,138.34985,-132860.413,58938.869
"NF24_048","NF24_048","fungi","109","root","root","Toxicodendron","p109",36.52198,138.34985,-132860.413,58938.869
"NF24_050","NF24_050","fungi","110","root","root","Pinus","p110",36.52211,138.34968,-132875.417,58953.529
"NF24_051","NF24_051","fungi","110","root","root","Pinus","p110",36.52211,138.34968,-132875.417,58953.529
"NF24_054","NF24_054","fungi","110","root","root","Pinus","p110",36.52211,138.34968,-132875.417,58953.529
"NF24_055","NF24_055","fungi","110","root","root","Pinus","p110",36.52211,138.34968,-132875.417,58953.529
"NF24_056","NF24_056","fungi","110","root","root","Pinus","p110",36.52211,138.34968,-132875.417,58953.529
"NF24_059","NF24_059","fungi","110","root","root","Unidentified","p110",36.52211,138.34968,-132875.417,58953.529
"NF24_061","NF24_061","fungi","110","root","root","Pinus","p110",36.52211,138.34968,-132875.417,58953.529
"NF24_062","NF24_062","fungi","110","root","root","Acer","p110",36.52211,138.34968,-132875.417,58953.529
"NF24_063","NF24_063","fungi","110","root","root","Unidentified","p110",36.52211,138.34968,-132875.417,58953.529
"NF24_064","NF24_064","fungi","110","root","root","Pinus","p110",36.52211,138.34968,-132875.417,58953.529
"NF24_065","NF24_065","fungi","111","root","root","Betula","p111",36.52176,138.34925,-132914.529,58915.284
"NF24_067","NF24_067","fungi","111","root","root","Betula","p111",36.52176,138.34925,-132914.529,58915.284
"NF24_068","NF24_068","fungi","111","root","root","Betula","p111",36.52176,138.34925,-132914.529,58915.284
"NF24_069","NF24_069","fungi","111","root","root","Betula","p111",36.52176,138.34925,-132914.529,58915.284
"NF24_070","NF24_070","fungi","111","root","root","Betula","p111",36.52176,138.34925,-132914.529,58915.284
"NF24_071","NF24_071","fungi","111","root","root","Betula","p111",36.52176,138.34925,-132914.529,58915.284
"NF24_072","NF24_072","fungi","111","root","root","Betula","p111",36.52176,138.34925,-132914.529,58915.284
"NF24_073","NF24_073","fungi","112","root","root","Betula","p112",36.52185,138.34921,-132917.958,58925.326
"NF24_074","NF24_074","fungi","112","root","root","Betula","p112",36.52185,138.34921,-132917.958,58925.326
"NF24_077","NF24_077","fungi","112","root","root","Betula","p112",36.52185,138.34921,-132917.958,58925.326
"NF24_078","NF24_078","fungi","112","root","root","Betula","p112",36.52185,138.34921,-132917.958,58925.326
"NF24_083","NF24_083","fungi","112","root","root","Betula","p112",36.52185,138.34921,-132917.958,58925.326
"NF24_084","NF24_084","fungi","112","root","root","Betula","p112",36.52185,138.34921,-132917.958,58925.326
"NF24_085","NF24_085","fungi","112","root","root","Betula","p112",36.52185,138.34921,-132917.958,58925.326
"NF24_089","NF24_089","fungi","114","root","root","Betula","p114",36.52183,138.34879,-132955.61,58923.687
"NF24_090","NF24_090","fungi","114","root","root","Betula","p114",36.52183,138.34879,-132955.61,58923.687
"NF24_091","NF24_091","fungi","114","root","root","Betula","p114",36.52183,138.34879,-132955.61,58923.687
"NF24_092","NF24_092","fungi","114","root","root","Betula","p114",36.52183,138.34879,-132955.61,58923.687
"NF24_093","NF24_093","fungi","114","root","root","Betula","p114",36.52183,138.34879,-132955.61,58923.687
"NF24_094","NF24_094","fungi","114","root","root","Betula","p114",36.52183,138.34879,-132955.61,58923.687
"NF24_095","NF24_095","fungi","114","root","root","Betula","p114",36.52183,138.34879,-132955.61,58923.687
"NF24_096","NF24_096","fungi","114","root","root","Unidentified","p114",36.52183,138.34879,-132955.61,58923.687
"NF25_001","NF25_001","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_003","NF25_003","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_004","NF25_004","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_007","NF25_007","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_008","NF25_008","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_010","NF25_010","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_011","NF25_011","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_012","NF25_012","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_013","NF25_013","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_014","NF25_014","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_015","NF25_015","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_016","NF25_016","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_017","NF25_017","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_018","NF25_018","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_019","NF25_019","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_020","NF25_020","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
"NF25_021","NF25_021","fungi","115","root","root","Betula","p115",36.52178,138.34864,-132969.13,58918.346
