"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Guild"
"X_20553","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Ceratosporella","novae-zelandiae","Unassigned"
"X_20557","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_20560","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20565","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_20576","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20582","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20584","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20600","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20605","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyphodiscus","hymeniophilus","Mycoparasite"
"X_20609","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20613","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_20632","Fungi","Ascomycota","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20633","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20635","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_20638","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20650","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiaceae","Rhizophydium","Unidentified","Unassigned"
"X_20667","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20670","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Unidentified","Unidentified","Unidentified"
"X_20673","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20680","Fungi","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20698","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_20718","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20748","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20753","Fungi","Basidiomycota","Agaricomycetes","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20755","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20757","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20782","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20787","Fungi","Mucoromycota","Endogonomycetes","GS21","GS21_fam_Incertae_sedis","GS21_gen_Incertae_sedis","Unidentified","Unidentified"
"X_20802","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Tubulicrinaceae","Sphaerobasidium","Unidentified","Unassigned"
"X_20830","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20833","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","globosa","Unassigned"
"X_20887","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_20899","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","largus","EcMF"
"X_20903","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20925","Viridiplantae","Anthophyta","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20934","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonales_fam_Incertae_sedis","Densospora","Unidentified","EcMF"
"X_20936","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_20939","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20943","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Unidentified","Endophyte"
"X_20948","Fungi","Entorrhizomycota","Entorrhizomycota_cls_Incertae_sedis","Entorrhizomycota_ord_Incertae_sedis","Entorrhizomycota_fam_Incertae_sedis","Entorrhizomycota_gen_Incertae_sedis","Unidentified","Unidentified"
"X_20963","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_20974","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_20978","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Unidentified","Unassigned"
"X_20984","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Fuscoporia","subferrea","Unassigned"
"X_20999","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21003","Fungi","Basidiomycota","Exobasidiomycetes","Tilletiales","Tilletiaceae","Tilletia","Unidentified","Unassigned"
"X_21004","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
