"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Guild"
"X_19021","Fungi","Basidiomycota","Agaricomycetes","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_19046","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Pseudotricholoma","metapodium","Unassigned"
"X_19067","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_19085","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Callistosporiaceae","Callistosporium","pinicola","Unassigned"
"X_19093","Fungi","Ascomycota","Leotiomycetes","Helotiales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_19099","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_19106","Viridiplantae","Anthophyta","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_19112","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Unidentified","Endophyte"
"X_19120","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_19126","Fungi","Neocallimastigomycota","Neocallimastigomycota_cls_Incertae_sedis","Neocallimastigomycota_ord_Incertae_sedis","Neocallimastigomycota_fam_Incertae_sedis","Neocallimastigomycota_gen_Incertae_sedis","Unidentified","Unidentified"
